id	file	line	kind	field	source	zh_cn	context
EDIT_00023	lib/edit/a_info.txt	115	description	D	Thomas Edison, the "Wizard of Menlo Park," patented 1,093		D:Thomas Edison, the "Wizard of Menlo Park," patented 1,093
EDIT_00024	lib/edit/a_info.txt	116	description	D	invention including the incandescent lightbulb.		D:invention including the incandescent lightbulb.
EDIT_00025	lib/edit/a_info.txt	118	artifact_name	N:name	'Frakir'		N:8:'Frakir'
EDIT_00026	lib/edit/a_info.txt	124	activation_message	E	You order Frakir to strangle your opponent.		E:You order Frakir to strangle your opponent.
EDIT_00027	lib/edit/a_info.txt	126	artifact_name	N:name	of Tulkas		N:9:of Tulkas
EDIT_00028	lib/edit/a_info.txt	130	description	D	The treasure of Tulkas, most fleet and wrathful of the Valar.		D:The treasure of Tulkas, most fleet and wrathful of the Valar.
EDIT_00029	lib/edit/a_info.txt	132	activation_message	E	The ring glows brightly...		E:The ring glows brightly...
EDIT_00030	lib/edit/a_info.txt	136	artifact_name	N:name	of Power (Narya)		N:10:of Power (Narya)
EDIT_00031	lib/edit/a_info.txt	145	activation_message	E	The ring glows deep red...		E:The ring glows deep red...
EDIT_00032	lib/edit/a_info.txt	146	description	D	The Ring of Fire, set with a ruby that glows like flame. Narya is one		D:The Ring of Fire, set with a ruby that glows like flame. Narya is one
EDIT_00033	lib/edit/a_info.txt	147	description	D	of the three Rings of Power created by the Elves and hidden by them from		D:of the three Rings of Power created by the Elves and hidden by them from
EDIT_00034	lib/edit/a_info.txt	148	description	D	Sauron.		D:Sauron.
EDIT_00035	lib/edit/a_info.txt	152	artifact_name	N:name	of Power (Nenya)		N:11:of Power (Nenya)
EDIT_00036	lib/edit/a_info.txt	162	activation_message	E	The ring glows bright white...		E:The ring glows bright white...
EDIT_00037	lib/edit/a_info.txt	163	description	D	The Ring of Adamant, with a pure white stone as centerpiece. Nenya is one		D:The Ring of Adamant, with a pure white stone as centerpiece. Nenya is one
EDIT_00038	lib/edit/a_info.txt	164	description	D	of the three Rings of Power created by the Elves and hidden by them from		D:of the three Rings of Power created by the Elves and hidden by them from
EDIT_00039	lib/edit/a_info.txt	165	description	D	Sauron.		D:Sauron.
EDIT_00040	lib/edit/a_info.txt	169	artifact_name	N:name	of Power (Vilya)		N:12:of Power (Vilya)
EDIT_00041	lib/edit/a_info.txt	179	activation_message	E	The ring glows deep blue...		E:The ring glows deep blue...
EDIT_00042	lib/edit/a_info.txt	180	description	D	The Ring of Sapphire, with clear blue gems that shine like stars,		D:The Ring of Sapphire, with clear blue gems that shine like stars,
EDIT_00043	lib/edit/a_info.txt	181	description	D	glittering untouchable despite all that Morgoth ever wrought. Vilya is		D:glittering untouchable despite all that Morgoth ever wrought. Vilya is
EDIT_00044	lib/edit/a_info.txt	182	description	D	one of the three Rings of Power created by the Elves and hidden by them		D:one of the three Rings of Power created by the Elves and hidden by them
EDIT_00045	lib/edit/a_info.txt	183	description	D	from Sauron.		D:from Sauron.
EDIT_00046	lib/edit/a_info.txt	187	artifact_name	N:name	of Power (The One Ring)		N:13:of Power (The One Ring)
EDIT_00047	lib/edit/a_info.txt	201	activation_message	E	The ring glows intensely black...		E:The ring glows intensely black...
EDIT_00048	lib/edit/a_info.txt	202	description	D	"One Ring to rule them all, One Ring to find them, One Ring to bring		D:"One Ring to rule them all, One Ring to find them, One Ring to bring
EDIT_00049	lib/edit/a_info.txt	203	description	D	them all and in the darkness bind them." Made of massive gold, and		D:them all and in the darkness bind them." Made of massive gold, and
EDIT_00050	lib/edit/a_info.txt	204	description	D	set with runes in the foul speech of Mordor, Isildur's Bane possesses		D:set with runes in the foul speech of Mordor, Isildur's Bane possesses
EDIT_00051	lib/edit/a_info.txt	205	description	D	powers so great that it inevitably twists and masters any earthly being		D:powers so great that it inevitably twists and masters any earthly being
EDIT_00052	lib/edit/a_info.txt	206	description	D	who wears it.		D:who wears it.
EDIT_00053	lib/edit/a_info.txt	208	artifact_name	N:name	of Cower (Darnya)		N:14:of Cower (Darnya)
EDIT_00054	lib/edit/a_info.txt	216	activation_message	E	The ring glows intensely black...		E:The ring glows intensely black...
EDIT_00055	lib/edit/a_info.txt	217	description	D	Adorned, showy gilding,		D:Adorned, showy gilding,
EDIT_00056	lib/edit/a_info.txt	218	description	D	set with runes in the strange speech of Heheh, with power so great that it		D:set with runes in the strange speech of Heheh, with power so great that it
EDIT_00057	lib/edit/a_info.txt	219	description	D	inevitably twists and masters any earthly being who wears it.		D:inevitably twists and masters any earthly being who wears it.
EDIT_00058	lib/edit/a_info.txt	221	artifact_name	N:name	Palantir of Westernesse		N:15:Palantir of Westernesse
EDIT_00059	lib/edit/a_info.txt	227	activation_message	E	Some strange places show up in your mind, and you see ...		E:Some strange places show up in your mind, and you see ...
EDIT_00060	lib/edit/a_info.txt	228	description	D	A shining white ball of unbreakable crystal, the ancient palantiri,		D:A shining white ball of unbreakable crystal, the ancient palantiri,
EDIT_00061	lib/edit/a_info.txt	229	description	D	or 'far-watchers', were used by kings of Numenor and later by the Exiles		D:or 'far-watchers', were used by kings of Numenor and later by the Exiles
EDIT_00062	lib/edit/a_info.txt	230	description	D	for rapid communication between distant lands.		D:for rapid communication between distant lands.
EDIT_00063	lib/edit/a_info.txt	232	artifact_name	N:name	'Crimson'		N:16:'Crimson'
EDIT_00064	lib/edit/a_info.txt	239	activation_message	E	I'll fire CRIMSON! SEKKAKUDAKARA!		E:I'll fire CRIMSON! SEKKAKUDAKARA!
EDIT_00065	lib/edit/a_info.txt	241	artifact_name	N:name	of Lore		N:17:of Lore
EDIT_00066	lib/edit/a_info.txt	247	description	D	A great emerald that fills your mind with images of knowledge and		D:A great emerald that fills your mind with images of knowledge and
EDIT_00067	lib/edit/a_info.txt	248	description	D	understanding as you stare into its depths.		D:understanding as you stare into its depths.
EDIT_00068	lib/edit/a_info.txt	250	artifact_name	N:name	of Faramir		N:18:of Faramir
EDIT_00069	lib/edit/a_info.txt	257	activation_message	E	You exterminate small life.		E:You exterminate small life.
EDIT_00070	lib/edit/a_info.txt	258	description	D	A slim neckpiece of True-silver, with quiet spells of Ithilien to aid and		D:A slim neckpiece of True-silver, with quiet spells of Ithilien to aid and
EDIT_00071	lib/edit/a_info.txt	259	description	D	protect the wearer.		D:protect the wearer.
EDIT_00072	lib/edit/a_info.txt	263	artifact_name	N:name	'Soulkeeper'		N:19:'Soulkeeper'
EDIT_00073	lib/edit/a_info.txt	270	activation_message	E	Your armor glows a bright white...		E:Your armor glows a bright white...
EDIT_00074	lib/edit/a_info.txt	271	description	D	A suit of imperishable adamant, with conquerable strength to endure evil		D:A suit of imperishable adamant, with conquerable strength to endure evil
EDIT_00075	lib/edit/a_info.txt	272	description	D	and disruptive magics, that protects the life force of its wearer like		D:and disruptive magics, that protects the life force of its wearer like
EDIT_00076	lib/edit/a_info.txt	273	description	D	nothing else can.		D:nothing else can.
EDIT_00077	lib/edit/a_info.txt	277	artifact_name	N:name	of Isildur		N:20:of Isildur
EDIT_00078	lib/edit/a_info.txt	283	description	D	A gleaming steel suit covering the wearer from neck to foot, with runes of		D:A gleaming steel suit covering the wearer from neck to foot, with runes of
EDIT_00079	lib/edit/a_info.txt	284	description	D	warding and stability deeply engraved into its surface.		D:warding and stability deeply engraved into its surface.
EDIT_00080	lib/edit/a_info.txt	288	artifact_name	N:name	of the Rohirrim		N:21:of the Rohirrim
EDIT_00081	lib/edit/a_info.txt	294	description	D	Small metal plates cover an inner layer of sturdy canvas, and both bear		D:Small metal plates cover an inner layer of sturdy canvas, and both bear
EDIT_00082	lib/edit/a_info.txt	295	description	D	scenes of hunting and war. You feel the spirit of Eorl the Young, matchless		D:scenes of hunting and war. You feel the spirit of Eorl the Young, matchless
EDIT_00083	lib/edit/a_info.txt	296	description	D	in combat, around you as you put his armour on.		D:in combat, around you as you put his armour on.
EDIT_00084	lib/edit/a_info.txt	300	artifact_name	N:name	of Lohengrin		N:22:of Lohengrin
EDIT_00085	lib/edit/a_info.txt	308	activation_message	E	A heavenly choir sings...		E:A heavenly choir sings...
EDIT_00086	lib/edit/a_info.txt	312	artifact_name	N:name	of Julian		N:23:of Julian
EDIT_00087	lib/edit/a_info.txt	320	activation_message	E	Your armor glows deep blue...		E:Your armor glows deep blue...
EDIT_00088	lib/edit/a_info.txt	324	artifact_name	N:name	of Arvedui		N:24:of Arvedui
EDIT_00089	lib/edit/a_info.txt	330	description	D	A hauberk, leggings, and sleeves of interlocking steel rings, well padded		D:A hauberk, leggings, and sleeves of interlocking steel rings, well padded
EDIT_00090	lib/edit/a_info.txt	331	description	D	with leather. You feel strong and tall as Arvedui, last king of Arnor,		D:with leather. You feel strong and tall as Arvedui, last king of Arnor,
EDIT_00091	lib/edit/a_info.txt	332	description	D	as you put it on.		D:as you put it on.
EDIT_00092	lib/edit/a_info.txt	336	artifact_name	N:name	of Caspanion		N:25:of Caspanion
EDIT_00093	lib/edit/a_info.txt	343	activation_message	E	Your armor glows bright red...		E:Your armor glows bright red...
EDIT_00094	lib/edit/a_info.txt	344	description	D	A hauberk, leggings, and sleeves of interlocking steel rings, strategically		D:A hauberk, leggings, and sleeves of interlocking steel rings, strategically
EDIT_00095	lib/edit/a_info.txt	345	description	D	reinforced at vital locations with a second layer of chain. Magics to		D:reinforced at vital locations with a second layer of chain. Magics to
EDIT_00096	lib/edit/a_info.txt	346	description	D	enhance body and mind lie within, and no door can bar the wearer's path.		D:enhance body and mind lie within, and no door can bar the wearer's path.
EDIT_00097	lib/edit/a_info.txt	351	artifact_name	N:name	of Shiva's Avatar		N:26:of Shiva's Avatar
EDIT_00098	lib/edit/a_info.txt	361	artifact_name	N:name	'Hithlomir'		N:27:'Hithlomir'
EDIT_00099	lib/edit/a_info.txt	366	description	D	Familiar with the secret ways hidden in darkness, this leather cuirass is		D:Familiar with the secret ways hidden in darkness, this leather cuirass is
EDIT_00100	lib/edit/a_info.txt	367	description	D	truly more than it appears.		D:truly more than it appears.
EDIT_00101	lib/edit/a_info.txt	371	artifact_name	N:name	'Thalkettoth'		N:28:'Thalkettoth'
EDIT_00102	lib/edit/a_info.txt	376	description	D	An amazingly light tunic and skirt sewn with thick, overlapping scales of		D:An amazingly light tunic and skirt sewn with thick, overlapping scales of
EDIT_00103	lib/edit/a_info.txt	377	description	D	hardened leather whose wearer moves with agility and assurance.		D:hardened leather whose wearer moves with agility and assurance.
EDIT_00104	lib/edit/a_info.txt	383	artifact_name	N:name	of Thorin		N:30:of Thorin
EDIT_00105	lib/edit/a_info.txt	389	description	D	Invoking the strength and endurance of Thorin, King under the Mountain,		D:Invoking the strength and endurance of Thorin, King under the Mountain,
EDIT_00106	lib/edit/a_info.txt	390	description	D	this little metal shield is proof against the Element of Earth.		D:this little metal shield is proof against the Element of Earth.
EDIT_00107	lib/edit/a_info.txt	394	artifact_name	N:name	of Celegorm		N:31:of Celegorm
EDIT_00108	lib/edit/a_info.txt	399	description	D	This shield emblazoned with a multitude of creatures not seen for ages		D:This shield emblazoned with a multitude of creatures not seen for ages
EDIT_00109	lib/edit/a_info.txt	400	description	D	once protected Celegorm, lord of Himlad; around it lies a mystic balance		D:once protected Celegorm, lord of Himlad; around it lies a mystic balance
EDIT_00110	lib/edit/a_info.txt	401	description	D	that contains the conflicts of the elements.		D:that contains the conflicts of the elements.
EDIT_00111	lib/edit/a_info.txt	405	artifact_name	N:name	of Anarion		N:32:of Anarion
EDIT_00112	lib/edit/a_info.txt	411	description	D	The great metal-bound shield of Anarion, son of Elendil, who Sauron found		D:The great metal-bound shield of Anarion, son of Elendil, who Sauron found
EDIT_00113	lib/edit/a_info.txt	412	description	D	himself powerless to wither or diminish.		D:himself powerless to wither or diminish.
EDIT_00114	lib/edit/a_info.txt	416	artifact_name	N:name	of Indra		N:33:of Indra
EDIT_00115	lib/edit/a_info.txt	424	artifact_name	N:name	of Chaos		N:34:of Chaos
EDIT_00116	lib/edit/a_info.txt	436	artifact_name	N:name	of Beruthiel		N:35:of Beruthiel
EDIT_00117	lib/edit/a_info.txt	443	description	D	The midnight-hued steel circlet of the sorceress-queen Beruthiel, which		D:The midnight-hued steel circlet of the sorceress-queen Beruthiel, which
EDIT_00118	lib/edit/a_info.txt	444	description	D	grants extraordinary powers of sight and awareness at a terrible physical		D:grants extraordinary powers of sight and awareness at a terrible physical
EDIT_00119	lib/edit/a_info.txt	445	description	D	cost.		D:cost.
EDIT_00120	lib/edit/a_info.txt	449	artifact_name	N:name	of Thranduil		N:36:of Thranduil
EDIT_00121	lib/edit/a_info.txt	454	description	D	The hunting cap of King Thranduil, to whose ears come all the secrets of		D:The hunting cap of King Thranduil, to whose ears come all the secrets of
EDIT_00122	lib/edit/a_info.txt	455	description	D	his forest domain.		D:his forest domain.
EDIT_00123	lib/edit/a_info.txt	459	artifact_name	N:name	of Thengel		N:37:of Thengel
EDIT_00124	lib/edit/a_info.txt	464	description	D	A ridged helmet made of steel, and embossed with scenes of valor in fine-		D:A ridged helmet made of steel, and embossed with scenes of valor in fine-
EDIT_00125	lib/edit/a_info.txt	465	description	D	engraved silver. It grants the wearer nobility, clearness of thought and		D:engraved silver. It grants the wearer nobility, clearness of thought and
EDIT_00126	lib/edit/a_info.txt	466	description	D	understanding.		D:understanding.
EDIT_00127	lib/edit/a_info.txt	470	artifact_name	N:name	of Hammerhand		N:38:of Hammerhand
EDIT_00128	lib/edit/a_info.txt	475	description	D	A great helm as steady as the heroes of the Westdike. Mighty were the		D:A great helm as steady as the heroes of the Westdike. Mighty were the
EDIT_00129	lib/edit/a_info.txt	476	description	D	blows of Helm, the Hammerhand!		D:blows of Helm, the Hammerhand!
EDIT_00130	lib/edit/a_info.txt	480	artifact_name	N:name	of Dor-Lomin		N:39:of Dor-Lomin
EDIT_00131	lib/edit/a_info.txt	488	description	D	The legendary dragon helm of Turin Turambar, an object of dread to the		D:The legendary dragon helm of Turin Turambar, an object of dread to the
EDIT_00132	lib/edit/a_info.txt	489	description	D	servants of Morgoth.		D:servants of Morgoth.
EDIT_00133	lib/edit/a_info.txt	493	artifact_name	N:name	'Holhenneth'		N:40:'Holhenneth'
EDIT_00134	lib/edit/a_info.txt	499	activation_message	E	Your helm glows bright white ... An image forms in your mind.		E:Your helm glows bright white ... An image forms in your mind.
EDIT_00135	lib/edit/a_info.txt	500	description	D	A famous helm of forged iron granting extraordinary powers of mind and		D:A famous helm of forged iron granting extraordinary powers of mind and
EDIT_00136	lib/edit/a_info.txt	501	description	D	awareness.		D:awareness.
EDIT_00137	lib/edit/a_info.txt	505	artifact_name	N:name	'Terror Mask'		N:41:'Terror Mask'
EDIT_00138	lib/edit/a_info.txt	517	artifact_name	N:name	of Amber		N:42:of Amber
EDIT_00139	lib/edit/a_info.txt	526	activation_message	E	Your crown glows deep blue ... You feel a warm tingling inside.		E:Your crown glows deep blue ... You feel a warm tingling inside.
EDIT_00140	lib/edit/a_info.txt	528	artifact_name	N:name	of Jack of Shadows		N:43:of Jack of Shadows
EDIT_00141	lib/edit/a_info.txt	536	artifact_name	N:name	'Colluin'		N:44:'Colluin'
EDIT_00142	lib/edit/a_info.txt	542	activation_message	E	Your cloak glows many colors ...		E:Your cloak glows many colors ...
EDIT_00143	lib/edit/a_info.txt	543	description	D	A cape worn by a hero from Valinor, a land utterly beyond the strife		D:A cape worn by a hero from Valinor, a land utterly beyond the strife
EDIT_00144	lib/edit/a_info.txt	544	description	D	of Elements.		D:of Elements.
EDIT_00145	lib/edit/a_info.txt	548	artifact_name	N:name	'Holcolleth'		N:45:'Holcolleth'
EDIT_00146	lib/edit/a_info.txt	554	activation_message	E	Your cloak glows deep blue...		E:Your cloak glows deep blue...
EDIT_00147	lib/edit/a_info.txt	555	description	D	This elven-grey mantle possesses great powers of tranquility and of		D:This elven-grey mantle possesses great powers of tranquility and of
EDIT_00148	lib/edit/a_info.txt	556	description	D	concealment, and grants the wearer the knowledge and understanding of		D:concealment, and grants the wearer the knowledge and understanding of
EDIT_00149	lib/edit/a_info.txt	557	description	D	the Sindar.		D:the Sindar.
EDIT_00150	lib/edit/a_info.txt	561	artifact_name	N:name	of Thingol		N:46:of Thingol
EDIT_00151	lib/edit/a_info.txt	568	activation_message	E	Your cloak glows bright yellow...		E:Your cloak glows bright yellow...
EDIT_00152	lib/edit/a_info.txt	569	description	D	A sable-hued cloak, with glowing elven-runes to restore magic showing calm		D:A sable-hued cloak, with glowing elven-runes to restore magic showing calm
EDIT_00153	lib/edit/a_info.txt	570	description	D	and clear as moonlight on still water.		D:and clear as moonlight on still water.
EDIT_00154	lib/edit/a_info.txt	574	artifact_name	N:name	of Thorongil		N:47:of Thorongil
EDIT_00155	lib/edit/a_info.txt	579	description	D	A cloak of shimmering green and brown that grants sight beyond sight and		D:A cloak of shimmering green and brown that grants sight beyond sight and
EDIT_00156	lib/edit/a_info.txt	580	description	D	shakes off holding magics, worn by Aragorn son of Arathorn in his youth		D:shakes off holding magics, worn by Aragorn son of Arathorn in his youth
EDIT_00157	lib/edit/a_info.txt	581	description	D	as he adventured under the name of Thorongil.		D:as he adventured under the name of Thorongil.
EDIT_00158	lib/edit/a_info.txt	585	artifact_name	N:name	'Colannon'		N:48:'Colannon'
EDIT_00159	lib/edit/a_info.txt	591	activation_message	E	Your cloak twists space around you...		E:Your cloak twists space around you...
EDIT_00160	lib/edit/a_info.txt	592	description	D	A crystal-blue cape of fine silk worn by a silent messenger of		D:A crystal-blue cape of fine silk worn by a silent messenger of
EDIT_00161	lib/edit/a_info.txt	593	description	D	the forces of Law. Somehow, its wearer is always able to escape		D:the forces of Law. Somehow, its wearer is always able to escape
EDIT_00162	lib/edit/a_info.txt	594	description	D	trouble.		D:trouble.
EDIT_00163	lib/edit/a_info.txt	598	artifact_name	N:name	of Luthien		N:49:of Luthien
EDIT_00164	lib/edit/a_info.txt	606	activation_message	E	Your cloak glows a deep red...		E:Your cloak glows a deep red...
EDIT_00165	lib/edit/a_info.txt	607	description	D	The opaque midnight folds, inset with a multitude of tiny diamonds, of		D:The opaque midnight folds, inset with a multitude of tiny diamonds, of
EDIT_00166	lib/edit/a_info.txt	608	description	D	this cloak swirl around you and you feel a hint, a fragment of the		D:this cloak swirl around you and you feel a hint, a fragment of the
EDIT_00167	lib/edit/a_info.txt	609	description	D	knowledge and power to restore that lay in Luthien, the most beautiful		D:knowledge and power to restore that lay in Luthien, the most beautiful
EDIT_00168	lib/edit/a_info.txt	610	description	D	being that ever knew death.		D:being that ever knew death.
EDIT_00169	lib/edit/a_info.txt	614	artifact_name	N:name	of Tuor		N:50:of Tuor
EDIT_00170	lib/edit/a_info.txt	620	description	D	From the ruin of Gondolin did Tuor escape, through secret ways and travail,		D:From the ruin of Gondolin did Tuor escape, through secret ways and travail,
EDIT_00171	lib/edit/a_info.txt	621	description	D	shielded by his cloak from a multitude of hostile eyes.		D:shielded by his cloak from a multitude of hostile eyes.
EDIT_00172	lib/edit/a_info.txt	627	artifact_name	N:name	'Cambeleg'		N:52:'Cambeleg'
EDIT_00173	lib/edit/a_info.txt	632	description	D	A hero's handgear that lends great prowess in battle.		D:A hero's handgear that lends great prowess in battle.
EDIT_00174	lib/edit/a_info.txt	636	artifact_name	N:name	'Cammithrim'		N:53:'Cammithrim'
EDIT_00175	lib/edit/a_info.txt	642	activation_message	E	Your gloves glow extremely brightly...		E:Your gloves glow extremely brightly...
EDIT_00176	lib/edit/a_info.txt	643	description	D	These gloves glow so brightly as to light the way for their owner and cast		D:These gloves glow so brightly as to light the way for their owner and cast
EDIT_00177	lib/edit/a_info.txt	644	description	D	magical bolts with great frequency.		D:magical bolts with great frequency.
EDIT_00178	lib/edit/a_info.txt	648	artifact_name	N:name	'Paurhach'		N:54:'Paurhach'
EDIT_00179	lib/edit/a_info.txt	654	activation_message	E	Your gauntlets are covered in fire...		E:Your gauntlets are covered in fire...
EDIT_00180	lib/edit/a_info.txt	655	description	D	A fiery set of gauntlets that can even burn your opponent.		D:A fiery set of gauntlets that can even burn your opponent.
EDIT_00181	lib/edit/a_info.txt	659	artifact_name	N:name	of Corwin		N:55:of Corwin
EDIT_00182	lib/edit/a_info.txt	667	artifact_name	N:name	'Pauraegen'		N:56:'Pauraegen'
EDIT_00183	lib/edit/a_info.txt	673	activation_message	E	Your gauntlets are covered in sparks...		E:Your gauntlets are covered in sparks...
EDIT_00184	lib/edit/a_info.txt	674	description	D	A set of handgear with sparks surrounding it, able to shock		D:A set of handgear with sparks surrounding it, able to shock
EDIT_00185	lib/edit/a_info.txt	675	description	D	your opponent.		D:your opponent.
EDIT_00186	lib/edit/a_info.txt	679	artifact_name	N:name	'Paurnen'		N:57:'Paurnen'
EDIT_00187	lib/edit/a_info.txt	685	activation_message	E	Your gauntlets are covered in acid...		E:Your gauntlets are covered in acid...
EDIT_00188	lib/edit/a_info.txt	686	description	D	A set of handgear so corrosive that dissolves your opponent.		D:A set of handgear so corrosive that dissolves your opponent.
EDIT_00189	lib/edit/a_info.txt	690	artifact_name	N:name	of Thanos		N:58:of Thanos
EDIT_00190	lib/edit/a_info.txt	701	artifact_name	N:name	of Fingolfin		N:59:of Fingolfin
EDIT_00191	lib/edit/a_info.txt	708	activation_message	E	Your caestus grow magical spikes...		E:Your caestus grow magical spikes...
EDIT_00192	lib/edit/a_info.txt	709	description	D	The hand-sheathing of Fingolfin, warrior-king of Elves and Men, who gave		D:The hand-sheathing of Fingolfin, warrior-king of Elves and Men, who gave
EDIT_00193	lib/edit/a_info.txt	710	description	D	Morgoth seven mighty wounds and pain that will last forever.		D:Morgoth seven mighty wounds and pain that will last forever.
EDIT_00194	lib/edit/a_info.txt	714	artifact_name	N:name	of Feanor		N:60:of Feanor
EDIT_00195	lib/edit/a_info.txt	721	activation_message	E	Your boots glow bright green...		E:Your boots glow bright green...
EDIT_00196	lib/edit/a_info.txt	722	description	D	This wondrous pair of leather boots once sped Feanor, creator of the		D:This wondrous pair of leather boots once sped Feanor, creator of the
EDIT_00197	lib/edit/a_info.txt	723	description	D	Silmarils and the mightiest of the Eldar, along the Grinding Ice and to		D:Silmarils and the mightiest of the Eldar, along the Grinding Ice and to
EDIT_00198	lib/edit/a_info.txt	724	description	D	Middle Earth at last.		D:Middle Earth at last.
EDIT_00199	lib/edit/a_info.txt	728	artifact_name	N:name	of Flora		N:61:of Flora
EDIT_00200	lib/edit/a_info.txt	735	activation_message	E	Your boots glow deep blue...		E:Your boots glow deep blue...
EDIT_00201	lib/edit/a_info.txt	739	artifact_name	N:name	of Thror		N:62:of Thror
EDIT_00202	lib/edit/a_info.txt	744	description	D	Sturdy footwear of leather and steel as enduring as the long-suffering		D:Sturdy footwear of leather and steel as enduring as the long-suffering
EDIT_00203	lib/edit/a_info.txt	745	description	D	Dwarven King-in-exile who wore them. Of dwarven make, the wearer of		D:Dwarven King-in-exile who wore them. Of dwarven make, the wearer of
EDIT_00204	lib/edit/a_info.txt	746	description	D	these boots will be completely at home in the mountains.		D:these boots will be completely at home in the mountains.
EDIT_00205	lib/edit/a_info.txt	751	artifact_name	N:name	of Shiva's Avatar		N:63:of Shiva's Avatar
EDIT_00206	lib/edit/a_info.txt	759	artifact_name	N:name	of Maedhros		N:64:of Maedhros
EDIT_00207	lib/edit/a_info.txt	766	description	D	A short thrusting blade with a large guard worn by Maedhros the Tall,		D:A short thrusting blade with a large guard worn by Maedhros the Tall,
EDIT_00208	lib/edit/a_info.txt	767	description	D	eldest son of Feanor, and wielded with his left hand after the loss of		D:eldest son of Feanor, and wielded with his left hand after the loss of
EDIT_00209	lib/edit/a_info.txt	768	description	D	his right hand in the pits of Thangorodrim.		D:his right hand in the pits of Thangorodrim.
EDIT_00210	lib/edit/a_info.txt	772	artifact_name	N:name	of Caine		N:65:of Caine
EDIT_00211	lib/edit/a_info.txt	782	artifact_name	N:name	'Narthanc'		N:66:'Narthanc'
EDIT_00212	lib/edit/a_info.txt	789	activation_message	E	Your dagger is covered in fire...		E:Your dagger is covered in fire...
EDIT_00213	lib/edit/a_info.txt	790	description	D	A fiery dagger finely balanced for deadly throws.		D:A fiery dagger finely balanced for deadly throws.
EDIT_00214	lib/edit/a_info.txt	794	artifact_name	N:name	'Nimthanc'		N:67:'Nimthanc'
EDIT_00215	lib/edit/a_info.txt	801	activation_message	E	Your dagger is covered in frost...		E:Your dagger is covered in frost...
EDIT_00216	lib/edit/a_info.txt	802	description	D	A frosty dagger finely balanced for deadly throws.		D:A frosty dagger finely balanced for deadly throws.
EDIT_00217	lib/edit/a_info.txt	806	artifact_name	N:name	'Dethanc'		N:68:'Dethanc'
EDIT_00218	lib/edit/a_info.txt	813	activation_message	E	Your dagger is covered in sparks...		E:Your dagger is covered in sparks...
EDIT_00219	lib/edit/a_info.txt	814	description	D	A dagger covered in sparks and finely balanced for deadly throws.		D:A dagger covered in sparks and finely balanced for deadly throws.
EDIT_00220	lib/edit/a_info.txt	818	artifact_name	N:name	of Rilia		N:69:of Rilia
