Missing file rows: 0
NO_MATCH SRC_01006 src/blood_knight.c:515:19 "Blood-Knights are fighters who have delved into the dark arts and can perform some special offensive effects using their own health. In addition to the HP cost, using such an ability causes bleeding, with an amount proportional to the cost of the ability. These special abilities rely on Constitution.\n \nBlood-Knights are very unusual in that cuts and low health make them more powerful; at full health their melee is nothing special, but the more damaged and wounded they are, the faster and deadlier their attacks become. On the brink of death they are the strongest fighters imaginable, and stories of their legendary feats abound; but with great power comes great risk of death, and you don't recall ever meeting one of these heroes of legend in person!\n \nBlood-Knights, like Blood-Mages, receive reduced benefits from healing magic. Since a Blood-Knight relies on their own blood for their power, this class is restricted to certain races; no non-living race may walk the red path."
NO_MATCH SRC_01593 src/cmd2.c:2959:19 "You are too scared!"
NO_MATCH SRC_01594 src/cmd2.c:3101:23 "Your ammo has run out. Time to reload!"
NO_MATCH SRC_01595 src/cmd2.c:3161:62 "Wall rocks were shattered."
NO_MATCH SRC_01596 src/cmd2.c:3297:31 "Your bow twitches in your hands!"
NO_MATCH SRC_01597 src/cmd2.c:3342:36 "The %s finds a mark."
NO_MATCH SRC_01598 src/cmd2.c:3350:54 "You cruelly shoot %s!"
NO_MATCH SRC_01599 src/cmd2.c:3352:40 "The %s hits %s."
NO_MATCH SRC_01600 src/cmd2.c:3368:40 "Your shot hit a fatal spot of %s!"
NO_MATCH SRC_01601 src/cmd2.c:3381:40 "Your shot hit a fatal spot of %s!"
NO_MATCH SRC_01602 src/cmd2.c:3429:43 "<color:B>%d damage</color>"
NO_MATCH SRC_01603 src/cmd2.c:3511:44 "%^s is put to sleep!"
NO_MATCH SRC_01604 src/cmd2.c:3554:56 "%^s is charmed!"
NO_MATCH SRC_01605 src/cmd2.c:3560:56 "%^s suddenly becomes friendly."
NO_MATCH SRC_01606 src/cmd2.c:3567:52 "%^s suddenly becomes friendly."
NO_MATCH SRC_01607 src/cmd2.c:3574:44 "%^s sticks to %s!"
NO_MATCH SRC_01608 src/cmd2.c:3582:40 "%^s flees in terror!"
NO_MATCH SRC_01609 src/cmd2.c:3638:32 "The %s misses %s."
NO_MATCH SRC_01610 src/cmd2.c:3696:28 "The %s returns to your pack."
NO_MATCH SRC_01611 src/cmd2.c:3707:28 "The %s has gone somewhere else."
NO_MATCH SRC_01613 src/cmd2.c:3758:19 "You have nothing to fire with."
NO_MATCH SRC_01614 src/cmd2.c:3765:19 "You cannot shoot while incorporeal."
NO_MATCH SRC_01615 src/cmd2.c:3774:19 "You should activate your Gun instead."
NO_MATCH SRC_01616 src/cmd2.c:3781:19 "You play a soothing melody, but not much else happens."
NO_MATCH SRC_01617 src/cmd2.c:3789:21 "Fire which item?"
NO_MATCH SRC_01618 src/cmd2.c:3790:20 "You have nothing to fire."
NO_MATCH SRC_01619 src/cmd2.c:3806:23 "You experience a powerful recoil!"
NO_MATCH SRC_01620 src/cmd2.c:3993:19 "You are already there!!"
NO_MATCH SRC_01621 src/cmd2.c:4005:19 "You cannot travel there!"
NO_MATCH SRC_01622 src/cmd2.c:4069:39 "<color:v>Oops!</color> The location you were travelling towards has scrolled off the screen."
NO_MATCH SRC_01623 src/cmd2.c:4190:31 "You are not aware of any interesting unidentified items."
NO_MATCH SRC_01624 src/cmd2.c:4191:51 "You cannot find a route to any interesting object."
NO_MATCH SRC_01687 src/cmd3.c:1209:62 "Good&Evil"
NO_MATCH SRC_01689 src/cmd3.c:1211:62 "Evil"
NO_MATCH SRC_01691 src/cmd3.c:1213:62 "Good"
NO_MATCH SRC_01693 src/cmd3.c:1215:57 "neutral(good&evil)"
NO_MATCH SRC_01695 src/cmd3.c:1217:62 "Neutral Evil"
NO_MATCH SRC_01697 src/cmd3.c:1219:62 "Neutral Good"
NO_MATCH SRC_01699 src/cmd3.c:1221:62 "Neutral"
NO_MATCH SRC_02000 src/cmd4.c:4377:42 "Knowledge"
NO_MATCH SRC_02094 src/cmd4.c:5907:56 "Knowledge"
NO_MATCH SRC_02095 src/cmd4.c:5907:70 "Visuals"
NO_MATCH SRC_02138 src/cmd4.c:6379:37 "Knowledge"
NO_MATCH SRC_02146 src/cmd4.c:6623:55 "Knowledge"
NO_MATCH SRC_02147 src/cmd4.c:6623:69 "Visuals"
NO_MATCH SRC_02266 src/cmd5.c:726:33 "Browse"
NO_MATCH SRC_02289 src/cmd5.c:1209:38 "Unskilled"
NO_MATCH SRC_02291 src/cmd5.c:1209:65 "Skilled"
NO_MATCH SRC_02294 src/cmd5.c:1210:32 "You are now <color:B>%s</color> in <color:R>%s</color>."
NO_MATCH SRC_02295 src/cmd5.c:1216:32 "You now have <color:B>%d</color> proficiency in <color:R>%s</color>."
NO_MATCH SRC_02296 src/cmd5.c:1222:32 "<color:B>You are getting more proficient with <color:R>%s</color>.</color>"
NO_MATCH SRC_02297 src/cmd5.c:1279:19 "You cannot read books!"
NO_MATCH SRC_02298 src/cmd5.c:1313:32 "browse"
NO_MATCH SRC_02299 src/cmd5.c:1323:21 "No techniques to browse."
NO_MATCH SRC_02300 src/cmd5.c:1325:21 "No spells to browse."
NO_MATCH SRC_02303 src/cmd5.c:1608:28 "You have got off %s."
NO_MATCH SRC_02305 src/cmd5.c:1631:16 "You have dismissed %d pet%s."
NO_MATCH SRC_02306 src/cmd5.c:1634:19 "'U'nnamed means all your pets except named pets and your mount."
NO_MATCH SRC_02307 src/cmd5.c:1741:24 "You nearly fall from %s, but bump into a wall."
NO_MATCH SRC_02309 src/cmd5.c:1784:20 "You are thrown from %s, but make a good landing."
NO_MATCH SRC_02310 src/cmd5.c:1788:51 "Falling from riding"
NO_MATCH SRC_02311 src/cmd5.c:1817:23 "You cannot go to that direction."
NO_MATCH SRC_02312 src/cmd5.c:1829:23 "There is a monster in the way!"
NO_MATCH SRC_02313 src/cmd5.c:1843:23 "You are too confused!"
NO_MATCH SRC_02314 src/cmd5.c:1851:23 "Here is no monster."
NO_MATCH SRC_02315 src/cmd5.c:1857:23 "That monster is not a pet."
NO_MATCH SRC_02316 src/cmd5.c:1868:34 "In your dreams."
NO_MATCH SRC_02317 src/cmd5.c:1870:34 "No can do."
NO_MATCH SRC_02318 src/cmd5.c:1871:34 "What game do you think you're playing, Leisure Suit Larry?"
NO_MATCH SRC_02319 src/cmd5.c:1872:34 "What game do you think you're playing, Frogspawn?"
NO_MATCH SRC_02320 src/cmd5.c:1873:35 "Feature turned off due to the controversy aroused by the release of FrogComposband 6.9.cream."
NO_MATCH SRC_02321 src/cmd5.c:1883:34 "Aivan sairas kaveri kun tuollaista aikoo puuhata!"
NO_MATCH SRC_02322 src/cmd5.c:1884:34 "I'm not going to judge you, but... what the hell, I'm going to judge you. WHAT THE HELL?"
NO_MATCH SRC_02323 src/cmd5.c:1885:35 "Holy bleating bleatity bleat!"
NO_MATCH SRC_02324 src/cmd5.c:1893:27 "This monster is not a suitable ring bearer."
NO_MATCH SRC_02325 src/cmd5.c:1901:27 "This monster doesn't seem suitable for riding."
NO_MATCH SRC_02326 src/cmd5.c:1907:27 "You are a dragon rider!"
NO_MATCH SRC_02327 src/cmd5.c:1916:23 "That monster has divided loyalties, and would not be a trustworthy mount!"
NO_MATCH SRC_02328 src/cmd5.c:1924:24 "This monster is %s the %s."
NO_MATCH SRC_02331 src/cmd5.c:1936:27 "This monster is too powerful for you to ride!"
NO_MATCH SRC_02332 src/cmd5.c:1940:27 "You failed to ride."
NO_MATCH SRC_02333 src/cmd5.c:1953:24 "You have waked %s up."
NO_MATCH SRC_02334 src/cmd5.c:2006:24 "This monster is not a pet."
NO_MATCH SRC_02335 src/cmd5.c:2011:24 "You cannot rename this monster!"
NO_MATCH SRC_02336 src/cmd5.c:2017:20 "Name %s."
NO_MATCH SRC_02337 src/cmd5.c:2032:24 "Name:"
NO_MATCH SRC_02341 src/cmd5.c:2076:164 "Monster"
NO_MATCH SRC_02354 src/cmd5.c:2138:27 "allow cast attack spell (now On)"
NO_MATCH SRC_02355 src/cmd5.c:2142:27 "allow cast attack spell (now Off)"
NO_MATCH SRC_02356 src/cmd5.c:2148:27 "allow cast summon spell (now On)"
NO_MATCH SRC_02357 src/cmd5.c:2152:27 "allow cast summon spell (now Off)"
NO_MATCH SRC_02358 src/cmd5.c:2158:27 "allow involve player in area spell (now On)"
NO_MATCH SRC_02359 src/cmd5.c:2162:27 "allow involve player in area spell (now Off)"
NO_MATCH SRC_02371 src/cmd5.c:2241:30 "(Command, ESC=exit) Choose command from menu."
NO_MATCH SRC_02374 src/cmd5.c:2409:27 "You have no pets!"
NO_MATCH SRC_02446 src/cmd6.c:1329:70 "opens"
NO_MATCH SRC_02447 src/cmd6.c:1329:80 "shatters"
NO_MATCH SRC_02483 src/combat.c:939:74 "slays"
NO_MATCH SRC_02484 src/combat.c:939:84 "is covered in"
NO_MATCH SRC_02567 src/combat.c:1849:68 "Attack"
NO_MATCH SRC_02569 src/combat.c:1851:76 "Attack"
NO_MATCH SRC_02609 src/combat.c:2219:63 "Multiplier Applies"
NO_MATCH SRC_02611 src/combat.c:2220:79 "Multiplier Does Not Apply"
NO_MATCH SRC_02634 src/combat.c:2339:76 "Multiplier Applies"
NO_MATCH SRC_02636 src/combat.c:2340:92 "Multiplier Does Not Apply"
NO_MATCH SRC_02699 src/corny.c:995:128 "/item"
NO_MATCH SRC_02700 src/corny.c:995:177 "/item"
NO_MATCH SRC_02703 src/corny.c:1008:87 "keeping"
NO_MATCH SRC_02704 src/corny.c:1008:112 "upgrading to"
NO_MATCH SRC_02705 src/corny.c:1008:129 "buying"
NO_MATCH SRC_02732 src/corny.c:1290:208 "/item"
NO_MATCH SRC_02772 src/demigod.c:482:26 "Minor-God"
NO_MATCH SRC_02774 src/demigod.c:486:26 "Aphrodite"
NO_MATCH SRC_02776 src/demigod.c:501:26 "Apollo"
NO_MATCH SRC_02778 src/demigod.c:513:26 "Ares"
NO_MATCH SRC_02780 src/demigod.c:532:26 "Artemis"
NO_MATCH SRC_02782 src/demigod.c:548:26 "Athena"
NO_MATCH SRC_02784 src/demigod.c:563:26 "Demeter"
NO_MATCH SRC_02786 src/demigod.c:575:26 "Hades"
NO_MATCH SRC_02788 src/demigod.c:588:26 "Hephaestus"
NO_MATCH SRC_02790 src/demigod.c:602:26 "Hera"
NO_MATCH SRC_02792 src/demigod.c:616:26 "Hermes"
NO_MATCH SRC_02794 src/demigod.c:631:26 "Poseidon"
NO_MATCH SRC_02796 src/demigod.c:643:26 "Zeus"
NO_MATCH SRC_03515 src/devices.c:4819:56 "Healing"
NO_MATCH SRC_04065 src/do-spell.c:1703:51 "Mass Identify"
NO_MATCH SRC_04503 src/do-spell.c:5376:61 "The"
NO_MATCH SRC_05028 src/doppelganger.c:293:64 "Race"
NO_MATCH SRC_05055 src/duelist.c:260:77 "another monster"
NO_MATCH SRC_05056 src/duelist.c:260:97 "a monster"
NO_MATCH SRC_05057 src/duelist.c:260:112 "someone"
NO_MATCH SRC_05151 src/dungeon.c:2245:99 "are"
NO_MATCH SRC_05152 src/dungeon.c:2245:107 "is"
NO_MATCH SRC_05163 src/dungeon.c:2386:94 "have"
NO_MATCH SRC_05164 src/dungeon.c:2386:103 "has"
NO_MATCH SRC_05166 src/dungeon.c:2401:92 "have"
NO_MATCH SRC_05167 src/dungeon.c:2401:101 "has"
NO_MATCH SRC_05169 src/dungeon.c:2417:93 "have"
NO_MATCH SRC_05170 src/dungeon.c:2417:102 "has"
NO_MATCH SRC_05173 src/dungeon.c:2451:82 "drain"
NO_MATCH SRC_05174 src/dungeon.c:2451:92 "drains"
NO_MATCH SRC_05177 src/dungeon.c:2462:84 "drain"
NO_MATCH SRC_05178 src/dungeon.c:2462:94 "drains"
NO_MATCH SRC_05180 src/dungeon.c:2483:101 "make"
NO_MATCH SRC_05181 src/dungeon.c:2483:110 "makes"
NO_MATCH SRC_05288 src/dungeon.c:6387:24 "<color:B>Welcome!</color> You begin life in the town where you may purchase supplies for the dangers that await you.\nThis is the message line where important information is communicated to you while you play the game. Press <color:y>SPACE</color> every time you see a <color:B>-more-</color> prompt and you are finished reading the current messages. Press <color:y>CTRL+P</color> to review recent messages. You may press <color:y>?</color> at any time for help.\n\n"
NO_MATCH SRC_05289 src/dungeon.c:6577:130 "Die?"
NO_MATCH SRC_05290 src/dungeon.c:6587:35 "You invoke wizard mode and cheat death."
NO_MATCH SRC_05291 src/dungeon.c:6605:35 "A tension leaves the air around you..."
NO_MATCH SRC_05292 src/dungeon.c:6633:67 "Cheating death"
NO_MATCH SRC_05293 src/dungeon.c:6684:35 "You are resurrected!"
NO_MATCH SRC_05546 src/effects.c:6158:84 "an"
NO_MATCH SRC_05565 src/effects.c:6540:53 "You die."
NO_MATCH SRC_05571 src/effects.c:6579:57 "You die."
NO_MATCH SRC_05677 src/equip.c:582:20 "Failed! Clear your bag first before wielding a new type bag."
NO_MATCH SRC_05678 src/equip.c:603:19 "You can't replace yourself with that!"
NO_MATCH SRC_05679 src/equip.c:610:20 "The %s you are wearing appears to be cursed."
NO_MATCH SRC_05680 src/equip.c:617:19 "Failed! Your weapon is currently grafted to your arm!"
NO_MATCH SRC_05682 src/equip.c:663:20 "%s will permanently transform you into a vampire when equipped."
NO_MATCH SRC_05684 src/equip.c:712:20 "You are %s."
NO_MATCH SRC_05685 src/equip.c:714:20 "You are wearing %s (%c)."
NO_MATCH SRC_05686 src/equip.c:719:19 "Oops! It feels deathly cold!"
NO_MATCH SRC_05687 src/equip.c:725:33 "You chop off your own hand to wield the Hand of Vecna!"
NO_MATCH SRC_05688 src/equip.c:730:33 "You pluck out your own eye to wield the Eye of Vecna!"
NO_MATCH SRC_05689 src/equip.c:784:19 "Your bag still holds something. Remove all of them from your bag first."
NO_MATCH SRC_05690 src/equip.c:821:19 "Your quiver still holds ammo. Remove all the ammo from your quiver first."
NO_MATCH SRC_05691 src/equip.c:834:21 "Take off which item?"
NO_MATCH SRC_05692 src/equip.c:835:20 "You are not wearing anything to take off."
NO_MATCH SRC_05693 src/equip.c:851:19 "You try to take yourself off, but fail!"
NO_MATCH SRC_05694 src/equip.c:859:23 "You confidently remove the cursed equipment."
NO_MATCH SRC_05695 src/equip.c:867:23 "Hmmm, it seems to be cursed."
NO_MATCH SRC_05696 src/equip.c:873:23 "You tear the cursed equipment off by sheer strength!"
NO_MATCH SRC_05697 src/equip.c:881:23 "You break the curse."
NO_MATCH SRC_05698 src/equip.c:885:23 "You couldn't remove the equipment."
NO_MATCH SRC_05699 src/equip.c:907:47 "Quantity"
NO_MATCH SRC_05700 src/equip.c:923:53 "You are no longer wearing %s."
NO_MATCH SRC_05701 src/equip.c:1156:34 "Warning: object_calc_bonuses() called with bad slot value"
NO_MATCH SRC_05702 src/equip.c:1777:22 "Equipment"
NO_MATCH SRC_05703 src/equip.c:1788:30 "Temp"
NO_MATCH SRC_05704 src/equip.c:1826:24 "You can no longer wield %s."
NO_MATCH SRC_05705 src/equip.c:1863:28 "You can no longer wield %s."
NO_MATCH SRC_05711 src/equip.c:1938:24 "<color:B>You feel that your %s is <color:r>cursed</color>.</color>"
NO_MATCH SRC_05712 src/equip.c:1953:24 "<color:B>You feel that your %s is %s you.</color>"
NO_MATCH SRC_05715 src/equip.c:1978:24 "<color:B>You learn more about your %s.</color>"
NO_MATCH SRC_05716 src/equip.c:1996:24 "<color:B>You learn that your %s %s.</color>"
NO_MATCH SRC_05717 src/equip.c:2036:19 "A dark curse prevents you from switching ring fingers!"
NO_MATCH SRC_05718 src/equip.c:2043:19 "A dark curse prevents you from switching ring fingers!"
NO_MATCH SRC_05719 src/equip.c:2048:15 "You nimbly switch ring fingers."
NO_MATCH SRC_05720 src/equip.c:2086:23 "Switch ring fingers so combat bonuses can apply to a weapon?"
NO_MATCH SRC_05721 src/equip.c:2098:19 "You do not have any rings equipped."
NO_MATCH SRC_05722 src/equip.c:2104:19 "A software bug has occurred in the ring finger swap UI - please report!"
NO_MATCH SRC_05723 src/equip.c:2110:19 "You cannot change ring fingers!"
NO_MATCH SRC_05724 src/equip.c:2125:25 "Choose first slot"
NO_MATCH SRC_05725 src/equip.c:2138:30 "Choose second slot"
NO_MATCH SRC_05828 src/files.c:2370:17 "`[Press Return, Space, -, =, /,"
NO_MATCH SRC_05849 src/files.c:2864:75 "Quitting"
NO_MATCH SRC_05878 src/files.c:3491:93 "Seppuku"
NO_MATCH SRC_06733 src/gf.c:519:84 "*immolated*"
NO_MATCH SRC_06734 src/gf.c:519:100 "immolated"
NO_MATCH SRC_06737 src/gf.c:525:83 "*bedeviled*"
NO_MATCH SRC_06738 src/gf.c:525:99 "bedeviled"
NO_MATCH SRC_06861 src/gf.c:1718:110 "*burned*"
NO_MATCH SRC_06862 src/gf.c:1718:123 "burned"
NO_MATCH SRC_07099 src/gf.c:3962:88 "gaze"
NO_MATCH SRC_07100 src/gf.c:3962:97 "point"
NO_MATCH SRC_07103 src/gf.c:3972:97 "gaze"
NO_MATCH SRC_07104 src/gf.c:3972:106 "point"
NO_MATCH SRC_07109 src/gf.c:3993:106 "gaze"
NO_MATCH SRC_07110 src/gf.c:3993:115 "point"
NO_MATCH SRC_07170 src/graymage.c:102:76 "Desc"
NO_MATCH SRC_07235 src/hissatsu.c:113:90 "Browse"
NO_MATCH SRC_07239 src/hissatsu.c:213:90 "Browse"
NO_MATCH SRC_07240 src/hissatsu.c:213:114 "Browse"
NO_MATCH SRC_07241 src/hissatsu.c:213:125 "Use"
NO_MATCH SRC_07273 src/home.c:448:32 "Unrecognized command: <color:R>^%c</color>. Press <color:keypress>?</color> for help."
NO_MATCH SRC_07274 src/home.c:466:43 "It's time for you to leave!"
NO_MATCH SRC_07275 src/home.c:467:28 "<color:v>Your pack is overflowing!</color> It's time for you to leave!"
NO_MATCH SRC_07276 src/home.c:505:29 "<color:B>(Page %d of %d)</color>\n"
NO_MATCH SRC_07279 src/home.c:523:25 "<color:keypress>d</color> to donate an item. <color:keypress>g</color> to get an item."
NO_MATCH SRC_07282 src/home.c:566:32 "Quantity"
NO_MATCH SRC_07283 src/home.c:575:27 "<color:R>You have no enough cookies to get this item.</color>"
NO_MATCH SRC_07284 src/home.c:579:27 "<color:R>Failed to get item from museum. Please try again later.</color>"
NO_MATCH SRC_07285 src/home.c:616:19 "The potion goes sour."
NO_MATCH SRC_07286 src/home.c:625:20 "You donate %s."
NO_MATCH SRC_07287 src/home.c:633:20 "You drop %s."
NO_MATCH SRC_07288 src/home.c:647:25 "Donate which item?"
NO_MATCH SRC_07289 src/home.c:648:24 "You have nothing to donate."
NO_MATCH SRC_07290 src/home.c:652:25 "Drop which item?"
NO_MATCH SRC_07291 src/home.c:653:24 "You have nothing to drop."
NO_MATCH SRC_07292 src/home.c:665:19 "You cannot donate true artifacts to the museum."
NO_MATCH SRC_07293 src/home.c:673:23 "Your quiver still holds ammo. Remove all the ammo from your quiver first."
NO_MATCH SRC_07297 src/home.c:696:28 "Quantity"
NO_MATCH SRC_07298 src/home.c:701:23 "<color:R>Failed to donate item to museum. Please try again later.</color>"
NO_MATCH SRC_07299 src/home.c:710:20 "You are no longer wearing %s."
NO_MATCH SRC_07301 src/home.c:764:19 "<color:R>You cannot remove items from the museum.</color>"
NO_MATCH SRC_07305 src/home.c:789:24 "You cannot destroy %s."
NO_MATCH SRC_07339 src/igor.c:326:82 "useful"
NO_MATCH SRC_07340 src/igor.c:326:93 "worth keeping"
NO_MATCH SRC_08508 src/init1.c:5174:47 "Taken"
NO_MATCH SRC_08509 src/init1.c:5174:56 "InProgress"
NO_MATCH SRC_08510 src/init1.c:5174:70 "Completed"
NO_MATCH SRC_08511 src/init1.c:5174:83 "Finished"
NO_MATCH SRC_08512 src/init1.c:5174:95 "Failed"
NO_MATCH SRC_08513 src/init1.c:5174:105 "FailedDone"
NO_MATCH SRC_08760 src/karrot.c:555:161 "daughter"
NO_MATCH SRC_08761 src/karrot.c:555:174 "son"
NO_MATCH SRC_08777 src/karrot.c:936:175 "daughter"
NO_MATCH SRC_08778 src/karrot.c:936:188 "son"
NO_MATCH SRC_08997 src/main-cocoa.m:899:162 "Quit"
NO_MATCH SRC_10031 src/mindcrafter.c:294:29 "Gives Stone Skin, Resist Acid (L15), Resist Fire (L20), Resist Cold (L25), Resist Lightning (L30) and Resist Poison (L35)."
NO_MATCH SRC_10032 src/mindcrafter.c:319:29 "Psychometry"
NO_MATCH SRC_10033 src/mindcrafter.c:322:29 "Returns a feeling about an item. Identifies the item at level 20 and above."
NO_MATCH SRC_10034 src/mindcrafter.c:325:29 "Pseudo-identifies an object. At L20, identifies an object instead."
NO_MATCH SRC_10035 src/mindcrafter.c:346:29 "Mind Wave"
NO_MATCH SRC_10036 src/mindcrafter.c:349:29 "At low levels, generates a ball of psionic energy centered on you. At level 25 and above, inflicts psionic damage on all monsters in line of sight."
NO_MATCH SRC_10037 src/mindcrafter.c:354:29 "Generates a ball (Radius 2 + L/10) of psionic energy (Damage L*3). At L25, damages all monsters in line of sight instead (Damage 1d(L*((L-5)/10 + 1)))."
NO_MATCH SRC_10038 src/mindcrafter.c:359:40 "dam %d"
NO_MATCH SRC_10039 src/mindcrafter.c:365:19 "Mind-warping forces emanate from your brain!"
NO_MATCH SRC_10040 src/mindcrafter.c:391:29 "Adrenaline Channeling"
NO_MATCH SRC_10041 src/mindcrafter.c:394:29 "Removes fear and stunning. Gives heroism and speed. Heals HP a little unless you already have heroism and temporary speed boost."
NO_MATCH SRC_10042 src/mindcrafter.c:398:29 "Removes stun. Heals 10 + 1d(L*3/2). Grants heroism and haste."
NO_MATCH SRC_10043 src/mindcrafter.c:427:29 "Telekinesis"
NO_MATCH SRC_10044 src/mindcrafter.c:430:29 "Pulls a distant item close to you."
NO_MATCH SRC_10045 src/mindcrafter.c:433:29 "Fetch a nearby object (Weight <= L*15)."
NO_MATCH SRC_10046 src/mindcrafter.c:456:29 "Psychic Drain"
NO_MATCH SRC_10047 src/mindcrafter.c:459:29 "Fires a ball which damages monsters and absorbs their mind power. A successful absorption also consumes some of your own energy, costing an additional 0.01 to 1.50 turns."
NO_MATCH SRC_10048 src/mindcrafter.c:463:29 "Drain target monster (Damage (L/2)d6) to regain 5d(damage)/4 spell points. But this spell also consumes 1d150 extra energy."
NO_MATCH SRC_10049 src/mindcrafter.c:493:29 "Psycho-Spear"
NO_MATCH SRC_10050 src/mindcrafter.c:496:29 "Fires a beam of pure energy which penetrates invulnerability globes."
NO_MATCH SRC_10051 src/mindcrafter.c:521:29 "Psycho-Storm"
NO_MATCH SRC_10052 src/mindcrafter.c:524:29 "Fires a large ball of pure mental energy."
NO_MATCH SRC_10053 src/mindcrafter.c:605:23 "Oh, no! Your mind has gone blank!"
NO_MATCH SRC_10054 src/mindcrafter.c:610:23 "Weird visions seem to dance before your eyes..."
NO_MATCH SRC_10055 src/mindcrafter.c:615:23 "Your brain is addled!"
NO_MATCH SRC_10056 src/mindcrafter.c:624:23 "Your mind unleashes its power in an uncontrollable storm!"
NO_MATCH SRC_10058 src/mindcrafter.c:668:19 "Mindcrafter"
NO_MATCH SRC_10059 src/mindcrafter.c:669:19 "Mindcrafters rely not on book magic, but on the powers of the mind. These mind powers are specific to this class, and range from extrasensory perception to psychic attacks and the mental domination of others. Most mind powers become accessible fairly early, but gain in strength with more experience. Wisdom determines a Mindcrafter's ability to use mind powers.\n \nMindcrafters' combat skills are reasonably good but far from outstanding; a combination of physical and mental attacks often works better for them than either one alone. A seasoned mindcrafter is very hard to confuse, and can effortlessly detect the minds of others. Mindcrafters have a class power, 'Clear Mind', which allows them to rapidly regenerate mana."
NO_MATCH SRC_10257 src/mon_info.c:680:72 "Type"
NO_MATCH SRC_10280 src/mon_info.c:849:52 "Object"
NO_MATCH SRC_10282 src/mon_info.c:850:56 "Treasure"
NO_MATCH SRC_10300 src/monk.c:154:78 "Dice"
NO_MATCH SRC_10301 src/monk.c:154:86 "Pct"
NO_MATCH SRC_10302 src/monk.c:154:93 "Dam"
NO_MATCH SRC_10707 src/monspell.c:2299:79 "looks"
NO_MATCH SRC_10708 src/monspell.c:2299:115 "completely healed!"
NO_MATCH SRC_10709 src/monspell.c:2299:138 "healthier."
NO_MATCH SRC_11175 src/mut.c:587:45 "Browse which mutation?"
NO_MATCH SRC_11971 src/obj.c:1345:56 "You have"
NO_MATCH SRC_11974 src/obj.c:1350:57 "You have"
NO_MATCH SRC_11985 src/obj_info.c:150:83 "in the quest '"
NO_MATCH SRC_12027 src/obj_info.c:378:91 "Potions of Blood"
NO_MATCH SRC_12028 src/obj_info.c:378:112 "a Potion of Blood"
NO_MATCH SRC_12044 src/obj_info.c:450:49 "CON"
NO_MATCH SRC_12045 src/obj_info.c:451:49 "CHR"
NO_MATCH SRC_12046 src/obj_info.c:452:49 "Speed"
NO_MATCH SRC_12047 src/obj_info.c:453:49 "Devices"
NO_MATCH SRC_12048 src/obj_info.c:454:49 "Stealth"
NO_MATCH SRC_12049 src/obj_info.c:455:49 "Searching"
NO_MATCH SRC_12050 src/obj_info.c:456:49 "Infravision"
NO_MATCH SRC_12051 src/obj_info.c:457:49 "Digging"
NO_MATCH SRC_12052 src/obj_info.c:458:49 "Shooting Speed"
NO_MATCH SRC_12189 src/obj_info.c:1120:106 "it"
NO_MATCH SRC_12190 src/obj_info.c:1120:113 "them"
NO_MATCH SRC_12192 src/obj_info.c:1121:126 "is"
NO_MATCH SRC_12193 src/obj_info.c:1121:132 "are"
NO_MATCH SRC_12510 src/personality.c:167:19 "Combat"
